tv_symbol,yahoo_symbol,previous_close,volume
TSE:8918,8918.T,11,113483300
TSE:4564,4564.T,24,179671600
TSE:5856,5856.T,24,2766900
TSE:9973,9973.T,25,3388200
TSE:9399,9399.T,27,694609
TSE:2370,2370.T,28,665000
TSE:3681,3681.T,28,2477700
TSE:8836,8836.T,30,215600
TSE:2134,2134.T,31,1218400
TSE:4597,4597.T,32,111798500
TSE:8107,8107.T,32,501900
TSE:3664,3664.T,34,7927300
TSE:3672,3672.T,36,248700
TSE:6659,6659.T,37,2186900
TSE:6173,6173.T,38,6338400
TSE:8894,8894.T,40,5206500
TSE:9704,9704.T,40,396600
TSE:6573,6573.T,41,664300
TSE:3823,3823.T,42,1500100
TSE:5103,5103.T,43,29400
TSE:9978,9978.T,47,16000
TSE:3667,3667.T,48,1678900
TSE:2388,2388.T,52,365500
TSE:6786,6786.T,52,16900
TSE:4563,4563.T,53,1360300
TSE:7527,7527.T,53,1222300
TSE:4594,4594.T,56,1293800
TSE:3840,3840.T,58,159100
TSE:3777,3777.T,59,3399100
TSE:1783,1783.T,64,646000
TSE:4833,4833.T,65,799500
TSE:4883,4883.T,68,3473800
TSE:2694,2694.T,70,434300
TSE:3237,3237.T,70,689300
TSE:4881,4881.T,70,243600
TSE:2315,2315.T,72,2082500
TSE:3624,3624.T,77,225500
TSE:8166,8166.T,78,66200
TSE:4586,4586.T,79,246300
TSE:4591,4591.T,81,190600
TSE:6740,6740.T,82,48293800
TSE:3113,3113.T,83,247100
TSE:3323,3323.T,83,275400
TSE:1773,1773.T,84,26000
TSE:7831,7831.T,85,42200
TSE:8946,8946.T,85,162800
TSE:3266,3266.T,86,67900
TSE:7836,7836.T,87,107100
TSE:4596,4596.T,89,2570900
TSE:4576,4576.T,90,171900
TSE:4582,4582.T,91,687100
TSE:7709,7709.T,91,474200
TSE:7603,7603.T,92,475700
TSE:3070,3070.T,93,1592500
TSE:6181,6181.T,94,33500
TSE:7692,7692.T,96,140000
TSE:5721,5721.T,97,1418900
TSE:5955,5955.T,97,3171700
TSE:6634,6634.T,97,32100
TSE:7571,7571.T,97,302000
TSE:2926,2926.T,99,266900
TSE:4583,4583.T,99,375800
TSE:9980,9980.T,100,171600
TSE:2330,2330.T,101,218600
TSE:3358,3358.T,101,99500
TSE:4772,4772.T,101,2808600
TSE:2762,2762.T,102,41200
TSE:3315,3315.T,102,3787900
TSE:7578,7578.T,103,19600
TSE:3071,3071.T,104,18400
TSE:3686,3686.T,104,190400
TSE:5255,5255.T,104,291700
TSE:9423,9423.T,104,85600
TSE:2586,2586.T,105,1379900
TSE:6993,6993.T,105,5154000
TSE:7897,7897.T,105,286600
TSE:7918,7918.T,105,95800
TSE:6574,6574.T,106,615500
TSE:6721,6721.T,106,246000
TSE:2338,2338.T,107,250100
TSE:3807,3807.T,107,205300
TSE:6803,6803.T,108,518900
TSE:2673,2673.T,111,127800
TSE:7063,7063.T,111,403000
TSE:288A,288A.T,112,29400
TSE:7992,7992.T,112,131500
TSE:2776,2776.T,113,644700
TSE:6177,6177.T,113,379400
TSE:4829,4829.T,114,274300
TSE:2721,2721.T,115,69000
TSE:6054,6054.T,116,51700
TSE:6494,6494.T,116,3888900
TSE:2778,2778.T,118,47800
TSE:3409,3409.T,118,74000
TSE:3647,3647.T,124,116900
TSE:3202,3202.T,126,79200
TSE:4615,4615.T,126,50500
TSE:9424,9424.T,127,3354300
TSE:2193,2193.T,128,500300
TSE:2484,2484.T,128,661400
TSE:8165,8165.T,128,264800
TSE:7615,7615.T,129,957500
TSE:8789,8789.T,129,1031900
TSE:2930,2930.T,130,407200
TSE:6775,6775.T,130,253900
TSE:4344,4344.T,131,1236200
TSE:6548,6548.T,131,48000
TSE:7238,7238.T,131,2589700
TSE:3536,3536.T,132,41400
TSE:9760,9760.T,132,22700
TSE:3940,3940.T,133,149100
TSE:7624,7624.T,134,10900
TSE:8105,8105.T,135,1745200
TSE:3189,3189.T,136,236500
TSE:5131,5131.T,136,38400
TSE:4571,4571.T,139,230400
TSE:8729,8729.T,139.7,6334200
TSE:7610,7610.T,140,337700
TSE:2440,2440.T,143,132100
TSE:7356,7356.T,145,10100
TSE:9432,9432.T,148.4,40398500
TSE:3753,3753.T,150,110800
TSE:5216,5216.T,150,218700
TSE:8202,8202.T,150,78500
TSE:4891,4891.T,151,223600
TSE:8518,8518.T,151,103900
TSE:9610,9610.T,151,131300
TSE:4893,4893.T,152,189000
TSE:6343,6343.T,152,177200
TSE:4376,4376.T,154,25800
TSE:5240,5240.T,154,78700
TSE:2764,2764.T,155,120100
TSE:3521,3521.T,155,18100
TSE:3011,3011.T,156,63900
TSE:3779,3779.T,157,18000
